id,name,country_code,district,population,population_perc
804,Lapu-Lapu,PHL,Central Visayas,217019,0.2856753590374767
805,San Pablo,PHL,Southern Tagalog,207927,0.273707004357155
806,Binan,PHL,Southern Tagalog,201186,0.2648334145089315
807,Taytay,PHL,Southern Tagalog,198183,0.2608803822712493
808,Lucena,PHL,Southern Tagalog,196075,0.2581054931746679
809,Imus,PHL,Southern Tagalog,195482,0.257324891071123
810,Olongapo,PHL,Central Luzon,194260,0.2557162978661787
811,Binangonan,PHL,Southern Tagalog,187691,0.2470691221188147
812,Santa Rosa,PHL,Southern Tagalog,185633,0.2443600510748088
813,Tagum,PHL,Southern Mindanao,179531,0.2363276159384996
814,Tacloban,PHL,Eastern Visayas,178639,0.2351534218805534
815,Malolos,PHL,Central Luzon,175291,0.2307462450801005
816,Mabalacat,PHL,Central Luzon,171045,0.2251569760553924
817,Cotabato,PHL,Central Mindanao,163849,0.2156844419287322
818,Meycauayan,PHL,Central Luzon,163037,0.2146155567549067
819,Puerto Princesa,PHL,Southern Tagalog,161912,0.2131346505719588
820,Legazpi,PHL,Bicol,157010,0.2066818486974607
821,Silang,PHL,Southern Tagalog,156137,0.2055326654994932
822,Ormoc,PHL,Eastern Visayas,154297,0.2031105611647162
823,San Carlos,PHL,Ilocos,154264,0.2030671212500164
824,Kabankalan,PHL,Western Visayas,149769,0.1971500783234825
825,Talisay,PHL,Central Visayas,148110,0.1949662353390288
