country_code,language,official,percentage,speakers
COM,Comorian-Swahili,F,0.5,289000.0
CPV,Crioulo,F,100.0,42800000.0
CPV,Portuguese,T,0.0,0.0
CRI,Chibcha,F,0.3,1206900.0
CRI,Chinese,F,0.2,804600.0
CRI,Creole English,F,2.0,8046000.0
CRI,Spanish,T,97.5,392242500.0
CUB,Spanish,T,100.0,
CXR,Chinese,F,0.0,0.0
CXR,English,T,0.0,0.0
CYM,English,T,0.0,0.0
CYP,Greek,T,74.1,55923269.99999999
CYP,Turkish,T,22.4,16905280.0
CZE,Czech,T,81.2,834581720.0
CZE,German,F,0.5,5139050.0
CZE,Hungarian,F,0.2,2055620.0
CZE,Moravian,F,12.9,132587490.0
CZE,Polish,F,0.6,6166860.0
CZE,Romani,F,0.3,3083430.0
CZE,Silesiana,F,0.4,4111240.0
CZE,Slovak,F,3.1,31862110.0
DEU,German,T,91.3,
DEU,Greek,F,0.4,
DEU,Italian,F,0.7,
DEU,Polish,F,0.3,
DEU,Southern Slavic Languages,F,1.4,
DEU,Turkish,F,2.6,
DJI,Afar,F,34.8,22202400.0
DJI,Arabic,T,10.6,6762800.0
DJI,Somali,F,43.9,28008200.0
DMA,Creole English,F,100.0,7100000.0
DMA,Creole French,F,0.0,0.0
DNK,Arabic,F,0.7,3731000.0
DNK,Danish,T,93.5,498355000.0
DNK,English,F,0.3,1599000.0
DNK,German,F,0.5,2665000.0
DNK,Norwegian,F,0.3,1599000.0
DNK,Swedish,F,0.3,1599000.0
DNK,Turkish,F,0.8,4264000.0
DOM,Creole French,F,2.0,16990000.0
DOM,Spanish,T,98.0,832510000.0
DZA,Arabic,T,86.0,2706506000.0
DZA,Berberi,F,14.0,440594000.0
ECU,KetSua,F,7.0,
ECU,Spanish,T,93.0,
EGY,Arabic,T,98.8,6764836000.0
EGY,Sinaberberi,F,0.0,0.0
ERI,Afar,F,4.3,16555000.0
ERI,Bilin,F,3.0,11550000.0
ERI,Hadareb,F,3.8,14630000.0
ERI,Saho,F,3.0,11550000.0
ERI,Tigre,F,31.7,122045000.0
ERI,Tigrinja,T,49.1,189035000.0
ESH,Arabic,T,100.0,29300000.0
ESP,Basque,F,1.6,63106720.0
ESP,Catalan,F,16.9,666564730.0
ESP,Galecian,F,6.4,252426880.0
ESP,Spanish,T,74.4,2934462480.0
EST,Belorussian,F,1.4,2014880.0
EST,Estonian,T,65.3,93979760.0
EST,Finnish,F,0.7,1007440.0
EST,Russian,F,27.8,40009760.0
EST,Ukrainian,F,2.8,4029760.0
ETH,Amhara,F,30.0,1876950000.0
ETH,Gurage,F,4.7,294055500.0
ETH,Oromo,F,31.0,1939515000.0
ETH,Sidamo,F,3.2,200208000.0
ETH,Somali,F,4.1,256516500.0
ETH,Tigrinja,F,7.2,450468000.0
ETH,Walaita,F,2.8,175182000.0
FIN,Estonian,F,0.2,1034260.0
FIN,Finnish,T,92.7,479379510.0
FIN,Russian,F,0.4,2068520.0
FIN,Saame,F,0.0,0.0
FIN,Swedish,T,5.7,29476410.0
